NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
445	208.902	51.125	52.355	45.593	0.25	0.835	20000.0
446	185.686	51.722	49.346	50.932	0.275	0.787	20000.0
447	199.663	48.686	51.186	43.474	0.23	0.844	20000.0
448	196.43	47.265	49.511	42.501	0.221	0.855	20000.0
449	180.866	48.752	46.579	45.427	0.252	0.831	20000.0
450	194.166	49.426	50.065	45.286	0.248	0.833	20000.0
451	188.531	50.259	49.132	48.321	0.264	0.813	30000.0
452	186.284	50.336	48.704	46.367	0.256	0.828	20000.0
453	196.017	49.473	50.509	45.286	0.243	0.835	30000.0
454	202.183	49.845	50.226	44.42	0.244	0.841	20000.0
455	191.833	46.176	50.253	41.65	0.217	0.867	20000.0
456	191.377	51.459	50.653	49.59	0.266	0.794	20000.0
457	189.627	46.166	49.832	42.255	0.224	0.86	20000.0
458	202.535	51.636	53.887	49.257	0.261	0.808	20000.0
459	193.63	52.33	52.124	50.245	0.279	0.794	40000.0
460	183.687	45.241	48.141	41.799	0.206	0.858	20000.0
461	185.451	50.656	48.079	47.503	0.272	0.816	20000.0
462	193.537	48.839	51.043	44.628	0.235	0.843	20000.0
463	187.651	48.681	48.001	42.975	0.248	0.853	30000.0
464	197.148	50.292	52.197	46.498	0.246	0.83	20000.0
465	199.226	47.586	50.741	42.683	0.224	0.855	20000.0
466	202.204	50.296	53.667	46.408	0.252	0.831	30000.0
467	196.662	53.103	53.722	51.077	0.297	0.784	20000.0
468	189.481	49.897	52.273	46.304	0.251	0.832	20000.0
469	198.109	49.338	51.26	45.989	0.241	0.831	20000.0
470	193.83	47.005	51.576	43.798	0.23	0.851	20000.0
471	194.355	47.536	49.21	42.507	0.228	0.852	20000.0
472	203.483	49.036	52.949	44.875	0.236	0.846	20000.0
473	189.469	44.292	48.808	40.392	0.203	0.873	30000.0
474	192.967	49.844	53.16	47.089	0.251	0.824	20000.0
475	195.447	49.93	52.201	45.777	0.25	0.834	20000.0
476	195.644	49.14	50.208	44.708	0.238	0.842	20000.0
477	188.873	46.717	47.31	41.21	0.216	0.866	20000.0
478	204.092	48.868	53.361	44.501	0.226	0.851	20000.0
479	201.312	52.374	51.853	47.484	0.27	0.827	20000.0
480	194.704	48.709	50.903	45.008	0.243	0.835	20000.0
481	195.455	49.93	52.843	48.102	0.252	0.819	20000.0
482	188.229	50.231	48.781	46.201	0.25	0.832	30000.0
483	186.154	50.132	47.337	46.68	0.256	0.823	20000.0
484	211.391	52.043	54.131	45.787	0.255	0.83	20000.0
485	186.703	47.028	48.491	43.242	0.23	0.848	20000.0
486	203.688	49.99	51.631	44.512	0.241	0.839	30000.0
487	203.925	48.739	52.527	43.336	0.227	0.852	20000.0
488	184.122	51.231	48.658	48.433	0.281	0.798	20000.0
489	202.887	47.813	51.035	42.689	0.225	0.856	20000.0
490	199.069	49.73	51.532	44.952	0.234	0.838	20000.0
491	177.776	44.303	46.097	40.345	0.203	0.875	20000.0
492	193.121	48.869	50.012	44.205	0.251	0.848	20000.0
493	189.442	52.19	49.745	48.975	0.279	0.807	20000.0
494	196.977	48.146	50.263	43.965	0.233	0.843	20000.0
495	199.55	48.757	51.806	43.608	0.237	0.85	20000.0
496	196.274	48.969	53.124	45.514	0.235	0.835	20000.0
497	201.517	49.588	51.601	45.169	0.234	0.835	20000.0
498	189.736	51.516	48.482	48.225	0.282	0.809	20000.0
499	199.677	49.462	51.413	44.233	0.235	0.845	30000.0
500	194.903	51.949	51.178	48.593	0.265	0.812	20000.0
