# Using amp_thresh=0.10, del_thresh=0.10
Sample	Low	High
TCGA-J4-A6G3-01A-11D-A30W-01	-0.274000	0.100000
TCGA-VN-A88K-01A-11D-A34T-01	-0.913000	0.659000
TCGA-EJ-7123-01A-11D-1959-01	-0.453000	0.618000
TCGA-VP-A879-01A-11D-A34T-01	-0.100000	0.100000
TCGA-G9-A9S0-01A-11D-A41J-01	-0.648000	0.611000
TCGA-VP-A87K-01A-11D-A34T-01	-1.110000	0.100000
TCGA-EJ-5525-01A-01D-1574-01	-0.977000	1.748000
TCGA-HC-7230-01A-11D-2112-01	-0.901000	0.100000
TCGA-KK-A6E3-01A-21D-A30D-01	-0.100000	0.100000
TCGA-EJ-A65G-01A-21D-A323-01	-0.100000	0.100000
TCGA-HC-A6AO-01A-11D-A30D-01	-0.854000	1.601000
TCGA-CH-5769-01A-11D-1574-01	-0.100000	0.100000
TCGA-KC-A7F6-01A-11D-A33S-01	-0.700000	0.201000
TCGA-KK-A8IJ-01A-11D-A34T-01	-0.664000	0.100000
TCGA-CH-5791-01A-11D-1574-01	-0.769000	0.367000
TCGA-EJ-A8FS-01A-11D-A34T-01	-0.932000	0.807000
TCGA-EJ-A46G-01A-31D-A26L-01	-0.100000	0.883000
TCGA-V1-A9OQ-01A-11D-A41J-01	-0.100000	0.100000
TCGA-HC-A48F-01A-11D-A256-01	-0.994000	0.920000
TCGA-KK-A7B0-01A-11D-A32A-01	-0.100000	0.406000
TCGA-HC-7749-01A-11D-2112-01	-0.698000	0.100000
TCGA-EJ-A65J-01A-11D-A30W-01	-0.459000	1.484000
TCGA-2A-A8W1-01A-11D-A376-01	-1.074000	1.017000
TCGA-CH-5772-01A-11D-1574-01	-0.723000	0.281000
TCGA-HI-7170-01A-11D-2112-01	-0.585000	0.100000
TCGA-J9-A52C-01A-11D-A26L-01	-0.455000	0.100000
TCGA-HC-7744-01A-11D-2112-01	-0.292000	0.100000
TCGA-KK-A7AW-01A-11D-A32A-01	-0.831000	0.434000
TCGA-HC-A76W-01A-11D-A33S-01	-0.293000	0.344000
TCGA-HC-A8D0-01A-11D-A363-01	-0.435000	0.100000
TCGA-EJ-7315-01A-31D-2112-01	-0.696000	0.100000
TCGA-EJ-A8FU-01A-11D-A363-01	-0.100000	0.100000
TCGA-KK-A6E6-01A-11D-A30W-01	-0.694000	0.100000
TCGA-J4-A83L-01A-11D-A34T-01	-0.433000	0.100000
TCGA-J4-A67O-01A-11D-A30D-01	-0.325000	0.100000
TCGA-VP-A875-01A-31D-A34T-01	-0.706000	0.687000
TCGA-ZG-A9L6-01A-11D-A41J-01	-0.401000	0.441000
TCGA-FC-A8O0-01A-41D-A376-01	-0.100000	0.100000
TCGA-V1-A9ZR-01A-11D-A41J-01	-0.620000	0.100000
TCGA-VP-AA1N-01A-31D-A41J-01	-0.761000	0.816000
TCGA-QU-A6IN-01A-11D-A31K-01	-0.897000	0.100000
TCGA-VN-A943-01A-11D-A41J-01	-0.100000	0.276000
TCGA-HC-7231-01A-11D-2112-01	-0.348000	0.224000
TCGA-KK-A8IA-01A-11D-A363-01	-1.027000	1.054000
TCGA-KK-A6E5-01A-11D-A30W-01	-0.743000	0.100000
TCGA-KK-A6E1-01A-11D-A30W-01	-0.863000	3.757000
TCGA-J4-AATV-01A-11D-A41J-01	-0.100000	0.100000
TCGA-XJ-A83F-01A-11D-A34T-01	-0.831000	0.100000
TCGA-KK-A59Y-01A-11D-A26L-01	-0.859000	0.821000
TCGA-G9-6336-01A-11D-1785-01	-0.100000	0.100000
TCGA-HC-8261-01B-05D-2297-01	-0.100000	0.100000
TCGA-YL-A8HO-01A-11D-A363-01	-0.481000	1.219000
TCGA-XJ-A9DK-01A-11D-A376-01	-0.100000	0.100000
TCGA-YL-A8SH-01B-11D-A376-01	-0.100000	0.100000
