SAMPLE_ID	mutations	gistic	structural_variants
MO_1499_T	WXS	WXS	WXS
MO_1510_T	WXS	WXS	WXS
MO_1511_T	WXS	WXS	WXS
MO_1514_T	WXS	WXS	WXS
MO_1517_T	WXS	WXS	WXS
MO_1541_T	WXS	WXS	WXS
MO_1543_T	WXS	WXS	WXS
MO_1553_T	WXS	WXS	WXS
MO_1556_T	WXS	WXS	WXS
PM10-TM	WXS	WXS	WXS
PM119-TM	WXS	WXS	WXS
PM121-TM	WXS	WXS	WXS
PM124-TM	WXS	WXS	WXS
PM139-TM	WXS	WXS	WXS
PM14-TM	WXS	WXS	WXS
PM15-TM	WXS	WXS	WXS
PM154-TM	WXS	WXS	WXS
PM155-TM	WXS	WXS	WXS
PM156-TM	WXS	WXS	WXS
PM158-TM	WXS	WXS	WXS
PM159-TM	WXS	WXS	WXS
PM161-TM	WXS	WXS	WXS
PM163-TM	WXS	WXS	WXS
PM170-TM	WXS	WXS	WXS
PM172-TM	WXS	WXS	WXS
PM189-TM	WXS	WXS	WXS
PM2-TM	WXS	WXS	WXS
PM6-Halo-TM	WXS	WXS	WXS
PM78-TM	WXS	WXS	WXS
PM9-TM	WXS	WXS	WXS
PM90-TM	WXS	WXS	WXS
PRAD-01115245-Tumor-SM-6WZF3	WXS	WXS	WXS
PRAD-01115249-Tumor-SM-6VZ7K	WXS	WXS	WXS
PRAD-01115257-Tumor-SM-6WZF8	WXS	WXS	WXS
PRAD-01115263-Tumor-SM-6WZF9	WXS	WXS	WXS
PRAD-01115264-Tumor-SM-6WZFA	WXS	WXS	WXS
PRAD-01115265-Tumor-SM-6WZFB	WXS	WXS	WXS
PRAD-01115284-Tumor-SM-6WZF6	WXS	WXS	WXS
PRAD-01115342-Tumor-SM-6VZ7L	WXS	WXS	WXS
PRAD-01115343-Tumor-SM-6VZ7N	WXS	WXS	WXS
PRAD-01115362-Tumor-SM-7A15P	WXS	WXS	WXS
PRAD-01115432-Tumor-SM-6B2K8	WXS	WXS	WXS
PRAD-01115444-Tumor-SM-6B2K9	WXS	WXS	WXS
PRAD-01115463-Tumor-SM-6B2KB	WXS	WXS	WXS
PRAD-01115466-Tumor-SM-6B2KC	WXS	WXS	WXS
PRAD-01115467-Tumor-SM-6B2KD	WXS	WXS	WXS
PRAD-01115468-Tumor-SM-6B2KE	WXS	WXS	WXS
PRAD-01115525-Tumor-SM-A4KNC	WXS	WXS	WXS
PRAD-01115526-Tumor-SM-A4KND	WXS	WXS	WXS
PRAD-01115527-Tumor-SM-A4KNE	WXS	WXS	WXS
PRAD-01115528-Tumor-SM-A4KNF	WXS	WXS	WXS
PRAD-01115531-Tumor-SM-A4KNG	WXS	WXS	WXS
PRAD-01115549-Tumor-SM-A4KNH	WXS	WXS	WXS
PRAD-01115550-Tumor-SM-A4KNI	WXS	WXS	WXS
PRAD-01115554-Tumor-SM-A56E4	WXS	WXS	WXS
PRAD-01115556-Tumor-SM-A56E5	WXS	WXS	WXS
PRAD-01115569-Tumor-SM-A56E6	WXS	WXS	WXS
PRAD-01115574-Tumor-SM-A56E7	WXS	WXS	WXS
PRAD-01115576-Tumor-SM-A56E8	WXS	WXS	WXS
PRAD-01115577-Tumor-SM-A56E9	WXS	WXS	WXS
PRAD-01115578-Tumor-SM-A56EA	WXS	WXS	WXS
PRAD-01115581-Tumor-SM-A56EB	WXS	WXS	WXS
PRAD-06115124-Tumor-SM-7LGU1	WXS	WXS	WXS
PRAD-6115250.0-Tumor-SM-B2XRX	WXS	WXS	WXS
PRAD-6115296.0-Tumor-SM-B2XS2	WXS	WXS	WXS
PRAD-6115381.0-Tumor-SM-7LGU3	WXS	WXS	WXS
PRAD-6115382.0-Tumor-SM-7LGU5	WXS	WXS	WXS
PRAD-6115383.0-Tumor-SM-7LGU6	WXS	WXS	WXS
PRAD-6115385.0-Tumor-SM-7LGU7	WXS	WXS	WXS
PRAD-6115386.0-Tumor-SM-7LGU8	WXS	WXS	WXS
PRAD-6115387.0-Tumor-SM-7LGU9	WXS	WXS	WXS
PRAD-6115388.0-Tumor-SM-7LGUA	WXS	WXS	WXS
PRAD-6115389.0-Tumor-SM-7LGUB	WXS	WXS	WXS
PRAD-6115390.0-Tumor-SM-7LGUC	WXS	WXS	WXS
PRAD-6115391.0-Tumor-SM-7LGUD	WXS	WXS	WXS
PRAD-6115392.0-Tumor-SM-7LGUE	WXS	WXS	WXS
PRAD-6115392.0-Tumor-SM-B2XRZ	WXS	WXS	WXS
PRAD-6115393.0-Tumor-SM-7LGUF	WXS	WXS	WXS
PRAD-6115394.0-Tumor-SM-7LGUG	WXS	WXS	WXS
PRAD-6115395.0-Tumor-SM-7LGUH	WXS	WXS	WXS
PRAD-6115396.0-Tumor-SM-7LGUI	WXS	WXS	WXS
PRAD-6115397.0-Tumor-SM-7LGUJ	WXS	WXS	WXS
PRAD-6115398.0-Tumor-SM-7LGUK	WXS	WXS	WXS
PRAD-6115399.0-Tumor-SM-7LGUL	WXS	WXS	WXS
PRAD-6115400.0-Tumor-SM-7LGUM	WXS	WXS	WXS
PRAD-6115400.0-Tumor-SM-7LGUN	WXS	WXS	WXS
PRAD-6115401.0-Tumor-SM-7LGUO	WXS	WXS	WXS
PRAD-6115402.0-Tumor-SM-7LGUP	WXS	WXS	WXS
PRAD-6115403.0-Tumor-SM-7LGUQ	WXS	WXS	WXS
PRAD-6115427.0-Tumor-SM-B2XRT	WXS	WXS	WXS
PRAD-6115590.0-Tumor-SM-B2XRS	WXS	WXS	WXS
PRAD-6115592.0-Tumor-SM-B2XRU	WXS	WXS	WXS
PRAD-6115593.0-Tumor-SM-B2XRV	WXS	WXS	WXS
PRAD-6115594.0-Tumor-SM-B2XRW	WXS	WXS	WXS
PRAD-6115595.0-Tumor-SM-B2XRY	WXS	WXS	WXS
PRAD-6115596.0-Tumor-SM-B2XS1	WXS	WXS	WXS
PRAD-6115597.0-Tumor-SM-B2XS5	WXS	WXS	WXS
PRAD-6115598.0-Tumor-SM-B2XS3	WXS	WXS	WXS
PRAD-6115599.0-Tumor-SM-B2XS4	WXS	WXS	WXS
PRAD-6115600.0-Tumor-SM-B2XS6	WXS	WXS	WXS
PRAD-6115601.0-Tumor-SM-B2XS7	WXS	WXS	WXS
PRAD-6115603.0-Tumor-SM-B2XS8	WXS	WXS	WXS
PRAD-6115604.0-Tumor-SM-B2XS9	WXS	WXS	WXS
PRAD-6115605.0-Tumor-SM-B2XSA	WXS	WXS	WXS
PRAD-DFCI.11-104.15-Tumor-SM-3S2HH	WXS	WXS	WXS
PROS01448-1115161-Tumor-SM-5SGU1	WXS	WXS	WXS
PROS01448-1115183-Tumor-SM-5SGU3	WXS	WXS	WXS
PROS01448-1115202-Tumor-SM-5SGU5	WXS	WXS	WXS
PROS01448-1115244-Tumor-SM-5SGU6	WXS	WXS	WXS
PROS01448-6115219-Tumor-SM-67ERS	WXS	WXS	WXS
PROS01448-6115224-Tumor-SM-67ERT	WXS	WXS	WXS
PROS01448-6115227-Tumor-SM-67ERU	WXS	WXS	WXS
PROS01448-6115233-Tumor-SM-67ERW	WXS	WXS	WXS
PROS01448-6115234-Tumor-SM-67ERX	WXS	WXS	WXS
PROS01448-6115235-Tumor-SM-67ERY	WXS	WXS	WXS
PROS01448-6115237-Tumor-SM-67ERZ	WXS	WXS	WXS
PROS01448-6115242-Tumor-SM-67ES1	WXS	WXS	WXS
PROS01448-6115247-Tumor-SM-67ES2	WXS	WXS	WXS
PROS01448-6115250-Tumor-SM-67ES5	WXS	WXS	WXS
PROS01448-6115251-Tumor-SM-67ES6	WXS	WXS	WXS
PROS01448-DFCI.10-448.P05-Tumor-SM-581ST	WXS	WXS	WXS
PROS01448-DFCI.10-448.P08-Tumor-SM-581SP	WXS	WXS	WXS
PROS01448-DFCI.10-448.P15-Tumor-SM-5CQ5D	WXS	WXS	WXS
PROS01448-DFCI.10-448.P20-Tumor-SM-5CQ5F	WXS	WXS	WXS
PROS01448-DFCI.10-448.P22-Tumor-SM-5CQ5H	WXS	WXS	WXS
PROS01448-DFCI.10-448.P27-Tumor-SM-5CQ5J	WXS	WXS	WXS
PROS01448-DFCI.10-448.P29-Tumor-SM-5CQ4U	WXS	WXS	WXS
PROS01448-DFCI.10-448.P30-Tumor-SM-5CQ4W	WXS	WXS	WXS
PROS01448-DFCI.10-448.P31-Tumor-SM-5CQ5A	WXS	WXS	WXS
PROS01448-DFCI.10-448.P34-Tumor-SM-5CQ4Y	WXS	WXS	WXS
PROS01448-DFCI.10-448.P38-Tumor-SM-5CQ52	WXS	WXS	WXS
PROS01448-DFCI.10-448.P40-Tumor-SM-5CQ53	WXS	WXS	WXS
PROS01448-DFCI.10-448.P42-Tumor-SM-5CQ55	WXS	WXS	WXS
PROS10448-01115200-Tumor-SM-7LYLF	WXS	WXS	WXS
PROS10448-01115372-Tumor-SM-7LYLD	WXS	WXS	WXS
PROS10448-01115374-Tumor-SM-7LYLG	WXS	WXS	WXS
PROS10448-01115378-Tumor-SM-7LYLH	WXS	WXS	WXS
PROS10448-1115150-Tumor-SM-5EEBK	WXS	WXS	WXS
PROS10448-1115153-Tumor-SM-5EEBL	WXS	WXS	WXS
PROS10448-1115154-Tumor-SM-5EEBM	WXS	WXS	WXS
PROS10448-1115156-Tumor-SM-5EEBN	WXS	WXS	WXS
PROS10448-1115157-Tumor-SM-5EEBO	WXS	WXS	WXS
PROS10448-SUTC.01115082-Tumor-SM-4JC6B	WXS	WXS	WXS
PROS10448-SUTC.01115082-Tumor-SM-4JC6C	WXS	WXS	WXS
PROS10448-SUTC.01115083-Tumor-SM-4JC6D	WXS	WXS	WXS
PROS10448-SUTC.01115083-Tumor-SM-4JC6G	WXS	WXS	WXS
PROS10448-SUTC.01115085-Tumor-SM-4JC6J	WXS	WXS	WXS
PROS10448-SUTC.01115087-Tumor-SM-72FXL	WXS	WXS	WXS
PROS10448-SUTC.01115087-Tumor-SM-72FXM	WXS	WXS	WXS
PROS10448-SUTC.01115089-Tumor-SM-4JC6T	WXS	WXS	WXS
PROS10448-SUTC.01115090-Tumor-SM-4JC6X	WXS	WXS	WXS
PROS10448-SUTC.01115091-Tumor-SM-72FY4	WXS	WXS	WXS
PROS10448-SUTC.01115092-Tumor-SM-72FY6	WXS	WXS	WXS
PROS10448-SUTC.01115093-Tumor-SM-4JC76	WXS	WXS	WXS
PROS10448P01-SU2C.01115015-Tumor-SM-42W9A	WXS	WXS	WXS
PROS10448P01-SU2C.01115015-Tumor-SM-42W9C	WXS	WXS	WXS
PROS10448P28-SU2C.01115016-Tumor-SM-42W9D	WXS	WXS	WXS
PROS10448P28-SU2C.01115016-Tumor-SM-42W9E	WXS	WXS	WXS
PROS11496-6115236-Tumor-SM-6CNPW	WXS	WXS	WXS
PROS11496-6115285-Tumor-SM-6CNPX	WXS	WXS	WXS
PROS11496-6115286-Tumor-SM-6CNPY	WXS	WXS	WXS
PROS11496-6115288-Tumor-SM-6CNQ1	WXS	WXS	WXS
PROS11496-6115295-Tumor-SM-6CNQ7	WXS	WXS	WXS
PROS11496-6115317-Tumor-SM-6CNQ2	WXS	WXS	WXS
PROS11496-6115319-Tumor-SM-6CNQ3	WXS	WXS	WXS
PROS11496-6115320-Tumor-SM-6CNQ4	WXS	WXS	WXS
PROS11496-6115321-Tumor-SM-6CNQ5	WXS	WXS	WXS
PROS11496-6115322-Tumor-SM-6CNQ6	WXS	WXS	WXS
PROS11496-6115323-Tumor-SM-6CNQ8	WXS	WXS	WXS
PROS12319B-SU2C-06115114-Tumor-SM-4W2N9	WXS	WXS	WXS
PROS12319B-SU2C-06115115-Tumor-SM-4W2NA	WXS	WXS	WXS
PROS12319B-SU2C-06115116-Tumor-SM-4W2NB	WXS	WXS	WXS
PROS12319B-SU2C-06115117-Tumor-SM-4W2NC	WXS	WXS	WXS
PROS12319B-SU2C-06115118-Tumor-SM-4W2ND	WXS	WXS	WXS
PROS12319B-SU2C-06115119-Tumor-SM-4W2NE	WXS	WXS	WXS
PROS12319B-SU2C-06115120-Tumor-SM-4W2NF	WXS	WXS	WXS
PROS12319B-SU2C-06115121-Tumor-SM-4W2NG	WXS	WXS	WXS
PROS12319B-SU2C-06115122-Tumor-SM-4W2NH	WXS	WXS	WXS
PROS12319B-SU2C-06115123-Tumor-SM-4W2NI	WXS	WXS	WXS
SC_9001-Tumor_Liver1	WXS	WXS	WXS
SC_9003-Tumor	WXS	WXS	WXS
SC_9005_T	WXS	WXS	WXS
SC_9005-Tumor	WXS	WXS	WXS
SC_9007-Tumor	WXS	WXS	WXS
SC_9008-Tumor	WXS	WXS	WXS
SC_9009-Tumor	WXS	WXS	WXS
SC_9010-Tumor	WXS	WXS	WXS
SC_9011-Tumor	WXS	WXS	WXS
SC_9012-Tumor	WXS	WXS	WXS
SC_9016_T	WXS	WXS	WXS
SC_9016-Tumor	WXS	WXS	WXS
SC_9017-Tumor	WXS	WXS	WXS
SC_9018-Tumor	WXS	WXS	WXS
SC_9019-Tumor	WXS	WXS	WXS
SC_9020-Tumor	WXS	WXS	WXS
SC_9021-Tumor	WXS	WXS	WXS
SC_9022-Tumor	WXS	WXS	WXS
SC_9023-Tumor	WXS	WXS	WXS
SC_9024-Tumor	WXS	WXS	WXS
SC_9026-Tumor	WXS	WXS	WXS
SC_9027_T	WXS	WXS	WXS
SC_9027-Tumor	WXS	WXS	WXS
SC_9028-Tumor	WXS	WXS	WXS
SC_9029-Tumor	WXS	WXS	WXS
SC_9030-Tumor	WXS	WXS	WXS
SC_9031-TM	WXS	WXS	WXS
SC_9032-Tumor	WXS	WXS	WXS
SC_9033_T	WXS	WXS	WXS
SC_9034-Tumor	WXS	WXS	WXS
SC_9035_T	WXS	WXS	WXS
SC_9035-Tumor	WXS	WXS	WXS
SC_9036-Tumor	WXS	WXS	WXS
SC_9037-Tumor	WXS	WXS	WXS
SC_9038-Tumor	WXS	WXS	WXS
SC_9039-Tumor	WXS	WXS	WXS
SC_9043-Tumor	WXS	WXS	WXS
SC_9046-Tumor	WXS	WXS	WXS
SC_9047-Tumor	WXS	WXS	WXS
SC_9048-Tumor	WXS	WXS	WXS
SC_9049-Tumor	WXS	WXS	WXS
SC_9050-Tumor	WXS	WXS	WXS
SC_9054-Tumor	WXS	WXS	WXS
SC_9055-Tumor	WXS	WXS	WXS
SC_9056_T	WXS	WXS	WXS
SC_9056-Tumor	WXS	WXS	WXS
SC_9057-Tumor	WXS	WXS	WXS
SC_9058-Tumor	WXS	WXS	WXS
SC_9059-Tumor	WXS	WXS	WXS
SC_9060-Tumor	WXS	WXS	WXS
SC_9061-Tumor	WXS	WXS	WXS
SC_9062-Tumor	WXS	WXS	WXS
SC_9063-Tumor	WXS	WXS	WXS
SC_9065-TM-Tumor2	WXS	WXS	WXS
SC_9065-Tumor	WXS	WXS	WXS
SC_9066-Tumor	WXS	WXS	WXS
SC_9068-Tumor	WXS	WXS	WXS
SC_9069_T	WXS	WXS	WXS
SC_9071-TM	WXS	WXS	WXS
SC_9072-TM	WXS	WXS	WXS
SC_9073-TM	WXS	WXS	WXS
SC_9074_T	WXS	WXS	WXS
SC_9076-TM	WXS	WXS	WXS
SC_9080-TM	WXS	WXS	WXS
SC_9081-TM	WXS	WXS	WXS
SC_9082-TM	WXS	WXS	WXS
SC_9083-TM	WXS	WXS	WXS
SC_9084-TM	WXS	WXS	WXS
SC_9086_T	WXS	WXS	WXS
SC_9086-TM	WXS	WXS	WXS
SC_9089-TM	WXS	WXS	WXS
SC_9090_T	WXS	WXS	WXS
SC_9091-TM	WXS	WXS	WXS
SC_9092-TM	WXS	WXS	WXS
SC_9093-TM	WXS	WXS	WXS
SC_9094-Tumor	WXS	WXS	WXS
SC_9096-Tumor	WXS	WXS	WXS
SC_9097-TM	WXS	WXS	WXS
SC_9099-Tumor	WXS	WXS	WXS
SC_9100-Tumor	WXS	WXS	WXS
SC_9103-Tumor	WXS	WXS	WXS
SC_9104-Tumor	WXS	WXS	WXS
SC_9105_Tumor	WXS	WXS	WXS
SC_9107-Tumor	WXS	WXS	WXS
SC_9109-Tumor	WXS	WXS	WXS
SC_9118_Tumor	WXS	WXS	WXS
SC_9120_T	WXS	WXS	WXS
SC_9121_Tumor	WXS	WXS	WXS
SC_9123_Tumor	WXS	WXS	WXS
SC_9124_Tumor	WXS	WXS	WXS
SC_9126_Tumor	WXS	WXS	WXS
SC_9129_Tumor	WXS	WXS	WXS
SC_9132_Tumor	WXS	WXS	WXS
SC_9136_Tumor	WXS	WXS	WXS
SC_9137_Tumor	WXS	WXS	WXS
SC_9138_Tumor	WXS	WXS	WXS
SC_9139_Tumor	WXS	WXS	WXS
SC_9140_Tumor	WXS	WXS	WXS
SC_9141_Tumor	WXS	WXS	WXS
SC_9142_Tumor	WXS	WXS	WXS
SC_9144_Tumor	WXS	WXS	WXS
SC_9145_Tumor	WXS	WXS	WXS
SC_9146_T	WXS	WXS	WXS
SC_9148_Tumor	WXS	WXS	WXS
SC_9150_Tumor	WXS	WXS	WXS
SC_9151_Tumor	WXS	WXS	WXS
SC_9152_Tumor	WXS	WXS	WXS
SC_9153_Tumor	WXS	WXS	WXS
SC_9156_Tumor	WXS	WXS	WXS
SC_9158_Tumor	WXS	WXS	WXS
SC_9162_Tumor	WXS	WXS	WXS
SC_9163_Tumor	WXS	WXS	WXS
SC_9165_Tumor	WXS	WXS	WXS
SC_9170_Tumor	WXS	WXS	WXS
SC_9171_Tumor	WXS	WXS	WXS
SC_9172_Tumor	WXS	WXS	WXS
SC_9173_Tumor	WXS	WXS	WXS
SC_9175_T	WXS	WXS	WXS
SC_9176_T	WXS	WXS	WXS
SC_9177_T	WXS	WXS	WXS
SC_9178_T	WXS	WXS	WXS
SC_9179_T	WXS	WXS	WXS
SC_9181_T	WXS	WXS	WXS
SC_9182_T	WXS	WXS	WXS
SC_9183_T	WXS	WXS	WXS
SC_9184_T	WXS	WXS	WXS
SC_9186_T	WXS	WXS	WXS
SC_9187_T	WXS	WXS	WXS
SC_9189_T	WXS	WXS	WXS
SC_9190_T	WXS	WXS	WXS
SC_9192_T	WXS	WXS	WXS
SC_9193_T	WXS	WXS	WXS
SC_9194_T	WXS	WXS	WXS
SC_9195_T	WXS	WXS	WXS
SC_9196_T	WXS	WXS	WXS
SC_9197_T	WXS	WXS	WXS
SC_9199_T	WXS	WXS	WXS
SC_9200_T	WXS	WXS	WXS
SC_9201_T	WXS	WXS	WXS
SC_9203_T	WXS	WXS	WXS
SC_9204_T	WXS	WXS	WXS
SI_9157_Tumor	WXS	WXS	WXS
TP_2001-Tumor	WXS	WXS	WXS
TP_2009-Tumor	WXS	WXS	WXS
TP_2010-Tumor	WXS	WXS	WXS
TP_2020-Tumor	WXS	WXS	WXS
TP_2032-Tumor	WXS	WXS	WXS
TP_2034-Tumor-Bone-Block-3B	WXS	WXS	WXS
TP_2054-TM	WXS	WXS	WXS
TP_2060-TM	WXS	WXS	WXS
TP_2061-TM	WXS	WXS	WXS
TP_2064-TM	WXS	WXS	WXS
TP_2069_Tumor	WXS	WXS	WXS
TP_2077_Tumor	WXS	WXS	WXS
TP_2078_Tumor	WXS	WXS	WXS
TP_2079_Tumor	WXS	WXS	WXS
TP_2081_T	WXS	WXS	WXS
TP_2093_T	WXS	WXS	WXS
TP_2096_T	WXS	WXS	WXS
WCM183_Z4	WXS	WXS	WXS
WCM192_X1	WXS	WXS	WXS
WCM198_Z1	WXS	WXS	WXS
WCM199_Z3	WXS	WXS	WXS
WCM207_X1	WXS	WXS	WXS
WCM209_Z2	WXS	WXS	WXS
WCM210_Z2	WXS	WXS	WXS
WCM218_Z3	WXS	WXS	WXS
WCM221_Z1	WXS	WXS	WXS
WCM223_Z2	WXS	WXS	WXS
WCM243_X1	WXS	WXS	WXS
WCM250_Z4	WXS	WXS	WXS
WCM252_Z3	WXS	WXS	WXS
WCM258_Z2	WXS	WXS	WXS
WCM261_Z4	WXS	WXS	WXS
WCM335_X1	WXS	WXS	WXS
WCM340_Z2	WXS	WXS	WXS
WCM343_X1	WXS	WXS	WXS
WCM353_Z1	WXS	WXS	WXS
WCM367_Z3	WXS	WXS	WXS
WCM373_X1	WXS	WXS	WXS
WCM391_X1	WXS	WXS	WXS
WCM393_Z3	WXS	WXS	WXS
WCM4_X1	WXS	WXS	WXS
WCM404_X1	WXS	WXS	WXS
WCM405_X1	WXS	WXS	WXS
WCM423_X1	WXS	WXS	WXS
WCM430_X1	WXS	WXS	WXS
WCM491_Z4	WXS	WXS	WXS
WCM524_Z1	WXS	WXS	WXS
WCM555_X1	WXS	WXS	WXS
WCM556_X1	WXS	WXS	WXS
WCM572_X1	WXS	WXS	WXS
WCM573_X1	WXS	WXS	WXS
WCM646_Z1	WXS	WXS	WXS
WCM647_Z1	WXS	WXS	WXS
WCM648_Z1	WXS	WXS	WXS
WCM650_Z1	WXS	WXS	WXS
WCM653_Z1	WXS	WXS	WXS
WCM654_Z1	WXS	WXS	WXS
WCM655_Z1	WXS	WXS	WXS
WCM662_Z2	WXS	WXS	WXS
WCM663_Z1	WXS	WXS	WXS
WCM664_X1	WXS	WXS	WXS
WCM665_X1	WXS	WXS	WXS
WCM666_X1	WXS	WXS	WXS
WCM668_Z1	WXS	WXS	WXS
WCM688_Z7	WXS	WXS	WXS
WCM886_Z2	WXS	WXS	WXS
WCM89_X1	WXS	WXS	WXS
WCM91_Z1	WXS	WXS	WXS
