NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
334	155.855	36.855	38.578	31.972	0.141	0.923	30000.0
335	150.478	39.929	37.384	35.569	0.176	0.893	20000.0
336	153.729	37.784	40.835	34.749	0.151	0.906	20000.0
337	153.344	39.514	40.06	35.897	0.17	0.9	20000.0
338	144.486	38.203	34.492	31.478	0.168	0.921	20000.0
339	151.354	39.138	41.829	36.855	0.167	0.888	20000.0
340	151.697	39.168	38.31	35.182	0.172	0.896	20000.0
341	149.123	35.719	37.114	32.224	0.138	0.916	20000.0
342	147.879	36.621	36.183	31.738	0.146	0.922	20000.0
343	158.502	38.358	39.472	35.195	0.15	0.899	20000.0
344	149.736	36.706	38.826	33.416	0.152	0.914	20000.0
345	155.229	39.878	38.655	34.601	0.164	0.904	20000.0
346	143.639	36.058	36.068	31.776	0.147	0.917	20000.0
347	156.015	38.517	38.757	34.021	0.15	0.912	20000.0
348	146.593	36.796	37.16	33.404	0.142	0.913	20000.0
349	148.351	34.863	38.546	32.256	0.125	0.924	20000.0
350	146.063	35.431	36.657	31.297	0.145	0.928	20000.0
351	157.899	39.574	39.478	34.836	0.164	0.907	20000.0
352	157.427	40.092	39.17	35.54	0.172	0.897	20000.0
353	155.105	37.693	37.386	32.662	0.15	0.918	20000.0
354	154.871	36.308	38.94	32.268	0.142	0.923	20000.0
355	155.27	34.722	39.519	31.247	0.128	0.929	20000.0
356	160.827	39.455	39.941	35.172	0.159	0.905	20000.0
357	156.141	38.511	39.549	34.43	0.156	0.905	20000.0
358	155.671	39.916	37.951	33.958	0.174	0.909	20000.0
359	143.166	36.52	35.745	32.679	0.147	0.914	20000.0
360	150.554	38.638	38.707	34.807	0.162	0.904	20000.0
361	156.296	37.819	38.492	33.482	0.152	0.913	20000.0
362	153.117	38.034	37.369	32.252	0.157	0.919	20000.0
363	146.239	36.187	37.5	33.196	0.143	0.914	20000.0
364	154.022	39.086	37.242	33.804	0.166	0.905	20000.0
365	150.027	36.17	39.048	33.593	0.14	0.914	20000.0
366	151.436	35.546	37.448	31.098	0.137	0.925	20000.0
367	151.947	35.23	38.005	31.084	0.135	0.924	30000.0
368	147.926	37.255	35.874	31.552	0.154	0.921	20000.0
369	158.433	38.848	40.124	34.813	0.151	0.902	20000.0
370	149.964	37.433	37.391	33.401	0.155	0.918	20000.0
371	152.265	39.869	38.477	35.821	0.164	0.896	20000.0
372	153.267	38.545	38.477	34.398	0.157	0.907	20000.0
373	146.588	36.408	36.771	33.37	0.146	0.907	20000.0
374	155.847	39.62	39.344	35.332	0.164	0.9	30000.0
375	155.875	34.228	39.919	29.998	0.126	0.935	20000.0
376	157.042	38.236	39.162	33.757	0.149	0.913	20000.0
377	159.412	40.738	39.53	35.138	0.167	0.903	20000.0
378	161.007	38.919	41.957	35.325	0.149	0.909	20000.0
379	157.204	36.912	40.646	34.127	0.14	0.913	20000.0
380	152.132	39.242	38.574	35.43	0.165	0.899	20000.0
381	146.27	37.779	36.352	34.001	0.162	0.904	20000.0
382	153.075	39.857	38.751	35.737	0.178	0.894	20000.0
383	158.189	37.235	40.926	33.571	0.148	0.914	20000.0
384	140.284	37.471	35.354	32.618	0.175	0.911	20000.0
385	141.41	32.796	35.566	29.477	0.122	0.937	20000.0
386	150.111	36.289	38.421	33.657	0.139	0.913	20000.0
387	151.985	37.483	39.054	33.512	0.15	0.917	20000.0
388	149.052	37.639	36.099	31.918	0.153	0.92	30000.0
389	158.256	40.973	40.739	37.017	0.177	0.889	20000.0
390	146.782	31.996	36.798	28.338	0.124	0.938	20000.0
391	146.274	37.79	37.143	34.083	0.166	0.903	20000.0
392	152.161	37.152	39.187	34.676	0.142	0.907	20000.0
393	145.789	37.361	36.593	33.102	0.156	0.91	30000.0
394	156.339	41.411	37.759	34.658	0.189	0.902	20000.0
395	153.341	36.967	38.337	33.626	0.142	0.912	20000.0
396	152.649	36.881	37.633	32.309	0.143	0.918	20000.0
397	155.395	38.448	40.214	35.203	0.153	0.909	20000.0
398	154.529	39.468	38.784	35.221	0.17	0.898	20000.0
399	151.355	38.862	38.236	35.017	0.163	0.901	20000.0
400	164.038	38.918	42.086	35.499	0.154	0.911	20000.0
401	144.055	34.517	35.201	30.503	0.128	0.926	20000.0
402	147.746	35.358	38.623	32.787	0.142	0.917	20000.0
403	145.072	38.173	37.218	33.948	0.173	0.911	30000.0
404	153.232	38.895	39.774	34.698	0.157	0.914	20000.0
405	144.989	35.287	38.226	33.053	0.143	0.916	20000.0
406	148.598	38.572	36.56	33.269	0.168	0.904	20000.0
407	163.072	39.077	43.155	36.252	0.155	0.903	20000.0
408	162.588	34.577	44.288	32.666	0.127	0.922	20000.0
409	147.759	37.388	36.665	32.649	0.146	0.913	20000.0
410	155.962	38.716	37.772	33.327	0.155	0.912	20000.0
411	148.28	39.28	35.758	32.982	0.165	0.916	20000.0
412	151.73	36.302	38.273	32.47	0.14	0.921	20000.0
413	155.314	35.465	41.306	32.751	0.132	0.921	20000.0
414	153.168	37.668	40.272	35.874	0.147	0.902	20000.0
415	155.038	35.199	38.338	31.359	0.129	0.927	20000.0
416	147.403	33.262	37.422	29.67	0.12	0.935	20000.0
417	149.05	38.328	36.292	33.159	0.154	0.911	20000.0
418	154.982	36.889	39.679	33.32	0.141	0.915	20000.0
419	149.197	35.369	37.944	32.451	0.136	0.917	20000.0
420	145.573	36.144	35.852	31.809	0.144	0.919	20000.0
421	151.994	37.523	38.747	33.871	0.142	0.908	20000.0
422	150.774	37.08	38.354	33.306	0.143	0.916	20000.0
423	151.174	37.537	37.679	33.757	0.146	0.911	20000.0
424	142.519	35.489	35.38	32.054	0.14	0.92	30000.0
425	144.173	37.041	37.526	33.939	0.151	0.912	20000.0
426	147.626	36.948	37.309	34.473	0.146	0.902	20000.0
427	151.828	37.971	38.988	35.022	0.152	0.909	20000.0
428	161.116	40.597	40.843	35.875	0.168	0.907	20000.0
429	148.855	39.757	37.573	34.687	0.166	0.897	20000.0
430	157.87	35.343	40.826	32.187	0.133	0.923	30000.0
431	141.87	35.888	35.182	31.521	0.147	0.922	20000.0
432	153.98	38.158	38.935	34.275	0.157	0.912	20000.0
433	155.329	39.726	39.239	35.106	0.164	0.898	20000.0
434	147.348	36.874	37.33	33.275	0.159	0.91	20000.0
435	155.78	37.715	38.985	33.566	0.145	0.914	20000.0
436	145.921	36.744	36.028	32.36	0.152	0.917	20000.0
437	152.9	36.851	36.552	32.193	0.14	0.915	20000.0
438	155.153	37.289	39.87	33.623	0.148	0.913	20000.0
439	145.675	37.771	37.054	33.902	0.165	0.904	20000.0
440	150.925	38.727	39.202	35.521	0.16	0.902	20000.0
441	150.653	38.26	36.727	33.381	0.174	0.905	30000.0
442	159.094	36.779	41.726	33.475	0.14	0.921	20000.0
443	165.634	50.479	41.298	45.21	0.278	0.803	20000.0
444	155.132	37.483	40.817	34.351	0.143	0.912	20000.0
445	157.304	38.924	39.831	36.328	0.154	0.898	20000.0
446	147.465	36.807	36.602	33.014	0.148	0.918	20000.0
447	152.964	35.846	37.476	31.883	0.142	0.921	20000.0
448	163.617	38.86	43.445	35.951	0.137	0.906	20000.0
449	147.322	37.76	35.99	33.029	0.152	0.912	20000.0
450	157.909	36.575	38.127	32.247	0.134	0.921	20000.0
451	162.909	40.249	40.686	35.374	0.163	0.904	20000.0
452	158.133	41.87	38.384	35.938	0.183	0.891	20000.0
453	153.321	41.111	37.107	35.592	0.182	0.887	20000.0
454	151.346	36.974	37.967	33.98	0.142	0.901	20000.0
455	148.523	36.579	38.106	33.03	0.152	0.916	20000.0
456	142.07	37.115	35.87	33.386	0.151	0.907	20000.0
457	146.465	33.729	36.545	29.147	0.127	0.937	20000.0
458	152.281	39.978	38.468	35.465	0.161	0.903	20000.0
459	142.291	35.605	36.159	32.543	0.14	0.912	20000.0
460	150.248	36.158	38.863	33.457	0.142	0.916	20000.0
461	139.362	33.766	35.203	30.589	0.13	0.929	20000.0
462	158.336	40.572	41.804	38.17	0.17	0.886	20000.0
463	154.429	40.661	36.986	35.35	0.173	0.894	20000.0
464	141.655	36.704	36.386	33.197	0.152	0.913	20000.0
465	148.765	38.9	36.747	34.209	0.164	0.908	20000.0
466	156.074	39.456	40.377	35.459	0.158	0.899	20000.0
467	154.426	37.515	38.983	34.326	0.144	0.911	20000.0
468	148.978	33.465	39.867	30.532	0.124	0.929	20000.0
469	156.982	37.04	42.098	35.432	0.145	0.905	20000.0
470	156.481	38.895	41.961	37.908	0.156	0.888	20000.0
471	147.758	35.601	36.762	31.874	0.135	0.921	20000.0
472	161.839	35.011	41.681	30.505	0.126	0.933	20000.0
473	146.373	38.673	36.24	34.818	0.159	0.898	30000.0
474	160.386	39.715	39.601	34.437	0.166	0.905	30000.0
475	158.606	37.135	40.49	33.545	0.133	0.915	30000.0
476	165.902	42.279	40.494	36.357	0.174	0.895	20000.0
477	152.58	37.989	36.702	33.023	0.151	0.914	20000.0
478	160.395	37.617	39.933	33.639	0.147	0.911	30000.0
479	146.767	35.267	36.988	31.082	0.14	0.925	20000.0
480	145.387	38.242	36.541	33.92	0.163	0.906	20000.0
481	149.062	35.57	37.546	32.665	0.129	0.913	20000.0
482	148.319	36.7	38.762	33.117	0.145	0.913	20000.0
483	149.353	38.547	36.943	34.357	0.165	0.903	20000.0
