Sample Names	MutationTypes	CNV48A	CNV48B
CN9R1_1_CKDN190048205-1A_HV3TFDSXX_L1	5-8:het:10Mb-40Mb	0.09638075974368289	0.903619240256317
CN9R1_1_CKDN190048205-1A_HV3TFDSXX_L1	5-8:het:>40Mb	0.06849670196682744	0.9315032980331726
CN9R1_1_CKDN190048205-1A_HV3TFDSXX_L1	9+:het:0-100kb	0.21629752571655358	0.7837024742834463
CN9R1_1_CKDN190048205-1A_HV3TFDSXX_L1	9+:het:100kb-1Mb	0.22925197730539798	0.770748022694602
CN9R1_1_CKDN190048205-1A_HV3TFDSXX_L1	9+:het:1Mb-10Mb	0.038577270740170616	0.9614227292598293
CN9R1_1_CKDN190048205-1A_HV3TFDSXX_L1	9+:het:10Mb-40Mb	0.030812612015285866	0.969187387984714
CN9R1_1_CKDN190048205-1A_HV3TFDSXX_L1	9+:het:>40Mb	0.21629752571655358	0.7837024742834463
CN9R1_2_CKDN190048207-1A_HTC3FDSXX_L2	0:homdel:0-100kb	1.0	0.0
CN9R1_2_CKDN190048207-1A_HTC3FDSXX_L2	0:homdel:100kb-1Mb	1.0	0.0
CN9R1_2_CKDN190048207-1A_HTC3FDSXX_L2	0:homdel:>1Mb	1.0	0.0
CN9R1_2_CKDN190048207-1A_HTC3FDSXX_L2	1:LOH:0-100kb	1.0	0.0
CN9R1_2_CKDN190048207-1A_HTC3FDSXX_L2	1:LOH:100kb-1Mb	1.0	0.0
CN9R1_2_CKDN190048207-1A_HTC3FDSXX_L2	1:LOH:1Mb-10Mb	1.0	0.0
CN9R1_2_CKDN190048207-1A_HTC3FDSXX_L2	1:LOH:10Mb-40Mb	1.0	0.0
CN9R1_2_CKDN190048207-1A_HTC3FDSXX_L2	1:LOH:>40Mb	1.0	0.0
CN9R1_2_CKDN190048207-1A_HTC3FDSXX_L2	2:LOH:0-100kb	1.0	0.0
CN9R1_2_CKDN190048207-1A_HTC3FDSXX_L2	2:LOH:100kb-1Mb	1.0	0.0
CN9R1_2_CKDN190048207-1A_HTC3FDSXX_L2	2:LOH:1Mb-10Mb	1.0	0.0
CN9R1_2_CKDN190048207-1A_HTC3FDSXX_L2	2:LOH:10Mb-40Mb	1.0	0.0
CN9R1_2_CKDN190048207-1A_HTC3FDSXX_L2	2:LOH:>40Mb	1.0	0.0
CN9R1_2_CKDN190048207-1A_HTC3FDSXX_L2	3-4:LOH:0-100kb	1.0	0.0
CN9R1_2_CKDN190048207-1A_HTC3FDSXX_L2	3-4:LOH:100kb-1Mb	1.0	0.0
CN9R1_2_CKDN190048207-1A_HTC3FDSXX_L2	3-4:LOH:1Mb-10Mb	1.0	0.0
CN9R1_2_CKDN190048207-1A_HTC3FDSXX_L2	3-4:LOH:10Mb-40Mb	1.0	0.0
CN9R1_2_CKDN190048207-1A_HTC3FDSXX_L2	3-4:LOH:>40Mb	1.0	0.0
CN9R1_2_CKDN190048207-1A_HTC3FDSXX_L2	5-8:LOH:0-100kb	1.0	0.0
CN9R1_2_CKDN190048207-1A_HTC3FDSXX_L2	5-8:LOH:100kb-1Mb	1.0	0.0
CN9R1_2_CKDN190048207-1A_HTC3FDSXX_L2	5-8:LOH:1Mb-10Mb	1.0	0.0
CN9R1_2_CKDN190048207-1A_HTC3FDSXX_L2	5-8:LOH:10Mb-40Mb	1.0	0.0
CN9R1_2_CKDN190048207-1A_HTC3FDSXX_L2	5-8:LOH:>40Mb	1.0	0.0
CN9R1_2_CKDN190048207-1A_HTC3FDSXX_L2	9+:LOH:0-100kb	1.0	0.0
CN9R1_2_CKDN190048207-1A_HTC3FDSXX_L2	9+:LOH:100kb-1Mb	1.0	0.0
CN9R1_2_CKDN190048207-1A_HTC3FDSXX_L2	9+:LOH:1Mb-10Mb	1.0	0.0
CN9R1_2_CKDN190048207-1A_HTC3FDSXX_L2	9+:LOH:10Mb-40Mb	1.0	0.0
CN9R1_2_CKDN190048207-1A_HTC3FDSXX_L2	9+:LOH:>40Mb	1.0	0.0
