sample	segment_count	included
TCGA-J4-A67R-01A-21D-A30D-01	83	yes
TCGA-J9-A8CM-01A-11D-A34T-01	128	yes
TCGA-EJ-5506-01A-01D-1574-01	40	yes
TCGA-EJ-5494-01A-01D-1574-01	54	yes
TCGA-G9-6385-01A-11D-1785-01	39	yes
TCGA-EJ-7788-01A-11D-2112-01	78	yes
TCGA-VP-AA1N-01A-31D-A41J-01	325	yes
TCGA-EJ-5530-01A-01D-1574-01	68	yes
TCGA-HC-7818-01A-11D-2112-01	79	yes
TCGA-HC-7211-01A-11D-2112-01	101	yes
TCGA-H9-7775-01A-11D-2112-01	88	yes
TCGA-HC-8261-01A-11D-2259-01	157	yes
TCGA-HC-A6HX-01A-11D-A31K-01	352	yes
TCGA-G9-7510-01A-11D-2259-01	310	yes
TCGA-EJ-A7NF-01A-11D-A33S-01	83	yes
TCGA-KK-A7AY-01A-11D-A33S-01	144	yes
TCGA-FC-A5OB-01A-11D-A323-01	144	yes
TCGA-J4-AATV-01A-11D-A41J-01	34	yes
TCGA-EJ-5511-01A-01D-1574-01	86	yes
TCGA-HC-8262-01A-11D-2259-01	122	yes
TCGA-KC-A7F6-01A-11D-A33S-01	112	yes
TCGA-M7-A725-01A-12D-A32A-01	155	yes
TCGA-V1-A9OL-01A-11D-A41J-01	326	yes
TCGA-G9-6336-01A-11D-1785-01	56	yes
TCGA-XJ-A9DK-01A-11D-A376-01	77	yes
TCGA-ZG-A9L2-01A-31D-A41J-01	121	yes
TCGA-V1-A8ML-01A-11D-A376-01	87	yes
TCGA-V1-A8X3-01A-11D-A376-01	79	yes
TCGA-EJ-5498-01A-01D-1574-01	82	yes
TCGA-VP-A87C-01A-11D-A34T-01	105	yes
TCGA-KK-A8I5-01A-11D-A363-01	193	yes
TCGA-KK-A8IB-01A-11D-A363-01	295	yes
TCGA-FC-A66V-01A-21D-A30D-01	33	yes
TCGA-G9-7509-01A-11D-A41J-01	128	yes
TCGA-G9-6348-01A-11D-1785-01	82	yes
TCGA-V1-A8WV-01A-11D-A376-01	150	yes
TCGA-KK-A6E8-01A-11D-A31K-01	480	yes
TCGA-EJ-A65G-01A-21D-A323-01	64	yes
TCGA-2A-AAYO-01A-11D-A41J-01	54	yes
TCGA-CH-5767-01A-11D-1785-01	237	yes
TCGA-EJ-A65D-01A-11D-A30D-01	115	yes
TCGA-KK-A8IJ-01A-11D-A34T-01	150	yes
TCGA-2A-A8VT-01A-11D-A376-01	139	yes
TCGA-EJ-5495-01A-01D-1574-01	88	yes
TCGA-MG-AAMC-01A-11D-A41J-01	130	yes
TCGA-QU-A6IP-01A-11D-A31K-01	51	yes
TCGA-ZG-A9M4-01A-11D-A41J-01	213	yes
TCGA-HC-7078-01A-11D-2112-01	149	yes
TCGA-HC-7752-01A-11D-2112-01	154	yes
TCGA-G9-6384-01A-11D-1785-01	67	yes
TCGA-G9-6329-01A-13D-1959-01	71	yes
TCGA-HC-7820-01A-11D-2112-01	81	yes
TCGA-CH-5769-01A-11D-1574-01	151	yes
TCGA-CH-5794-01A-11D-1574-01	110	yes
TCGA-V1-A8MU-01A-11D-A376-01	95	yes
TCGA-FC-7961-01A-11D-A323-01	273	yes
TCGA-2A-AAYU-01A-11D-A41J-01	147	yes
TCGA-VN-A88Q-01A-11D-A34T-01	97	yes
TCGA-EJ-5503-01A-01D-1574-01	42	yes
TCGA-G9-6353-01A-11D-1959-01	35	yes
TCGA-EJ-5508-01A-02D-1574-01	64	yes
TCGA-EJ-5512-01A-01D-1574-01	94	yes
TCGA-XJ-A83G-01A-11D-A34T-01	323	yes
TCGA-EJ-5527-01A-01D-1574-01	177	yes
TCGA-VN-A88I-01A-11D-A34T-01	101	yes
TCGA-ZG-A9L4-01A-11D-A41J-01	52	yes
TCGA-G9-7521-01A-11D-2259-01	182	yes
TCGA-YL-A9WL-01A-11D-A41J-01	348	yes
TCGA-EJ-5521-01A-01D-1574-01	204	yes
TCGA-HC-7232-01A-11D-2112-01	128	yes
TCGA-YL-A9WY-01A-11D-A41J-01	248	yes
TCGA-V1-A8WN-01A-11D-A376-01	61	yes
TCGA-EJ-7793-01A-31D-2259-01	53	yes
TCGA-VP-A87E-01A-31D-A34T-01	45	yes
TCGA-HC-A631-01A-11D-A323-01	172	yes
TCGA-QU-A6IL-01A-11D-A31K-01	421	yes
TCGA-EJ-5504-01A-01D-1574-01	213	yes
TCGA-EJ-A65B-01A-12D-A30D-01	109	yes
TCGA-EJ-7327-01A-11D-2112-01	136	yes
TCGA-VN-A88N-01A-11D-A363-01	62	yes
TCGA-J4-A6M7-01A-11D-A31K-01	59	yes
TCGA-XK-AAJU-01A-11D-A41J-01	50	yes
TCGA-EJ-5526-01A-01D-1574-01	127	yes
TCGA-ZG-A9LB-01A-11D-A41J-01	163	yes
TCGA-G9-7525-01A-31D-2259-01	228	yes
TCGA-V1-A8MJ-01A-11D-A363-01	83	yes
TCGA-FC-A6HD-01A-11D-A31K-01	74	yes
TCGA-EJ-7797-01A-11D-2259-01	64	yes
TCGA-VN-A88R-01A-11D-A363-01	365	yes
TCGA-HC-8266-01A-11D-2259-01	94	yes
TCGA-G9-6370-01A-11D-1785-01	35	yes
TCGA-XK-AAJT-01A-11D-A41J-01	740	yes
TCGA-EJ-5497-01A-02D-1574-01	134	yes
TCGA-CH-5763-01A-11D-1574-01	52	yes
TCGA-HC-8265-01A-11D-2259-01	796	yes
TCGA-KK-A8IA-01A-11D-A363-01	186	yes
TCGA-HC-7230-01A-11D-2112-01	79	yes
TCGA-J4-A83K-01A-11D-A34T-01	72	yes
TCGA-KK-A8IM-01A-11D-A363-01	160	yes
TCGA-EJ-A7NJ-01A-22D-A34T-01	31	yes
TCGA-J4-A83M-01A-11D-A34T-01	127	yes
TCGA-KK-A7B2-01A-12D-A32A-01	60	yes
TCGA-EJ-5501-01A-01D-1574-01	107	yes
TCGA-G9-7519-01A-11D-2259-01	86	yes
TCGA-2A-A8VO-01A-11D-A376-01	75	yes
TCGA-CH-5762-01A-11D-1574-01	109	yes
TCGA-EJ-7791-01A-11D-2112-01	65	yes
TCGA-KC-A4BL-01A-31D-A256-01	50	yes
TCGA-HC-8259-01A-11D-2259-01	117	yes
TCGA-CH-5772-01A-11D-1574-01	146	yes
TCGA-KC-A4BN-01A-61D-A256-01	74	yes
TCGA-V1-A9O7-01A-21D-A41J-01	152	yes
TCGA-V1-A9OY-01A-11D-A41J-01	109	yes
TCGA-V1-A9O5-01A-11D-A41J-01	147	yes
TCGA-EJ-A7NM-01A-21D-A33S-01	147	yes
TCGA-KK-A6E6-01A-11D-A30W-01	166	yes
TCGA-CH-5790-01A-11D-1574-01	158	yes
TCGA-HC-8213-01A-11D-A323-01	98	yes
TCGA-ZG-A9LS-01A-12D-A41J-01	113	yes
TCGA-ZG-A9L6-01A-11D-A41J-01	140	yes
TCGA-J4-8200-01A-11D-A323-01	82	yes
TCGA-VN-A88P-01A-11D-A34T-01	140	yes
TCGA-H9-A6BX-01A-31D-A30W-01	38	yes
TCGA-V1-A8WS-01A-11D-A376-01	180	yes
TCGA-SU-A7E7-01A-22D-A33S-01	107	yes
TCGA-KK-A6E3-01A-21D-A30D-01	73	yes
TCGA-G9-6377-01A-11D-1959-01	134	yes
TCGA-G9-6361-01A-21D-1959-01	254	yes
TCGA-EJ-A65F-01A-21D-A30W-01	113	yes
TCGA-ZG-A9MC-01A-31D-A41J-01	110	yes
TCGA-G9-7522-01A-11D-2259-01	64	yes
TCGA-KC-A7F3-01A-21D-A33S-01	331	yes
TCGA-KC-A7FD-01A-11D-A33S-01	61	yes
TCGA-VN-A88L-01A-11D-A34T-01	159	yes
TCGA-HC-7077-01A-11D-1959-01	220	yes
TCGA-G9-7523-01A-11D-2259-01	58	yes
TCGA-VN-A943-01A-11D-A41J-01	478	yes
TCGA-V1-A8MM-01A-11D-A376-01	236	yes
TCGA-KC-A4BO-01A-61D-A256-01	39	yes
TCGA-KK-A59V-01A-11D-A323-01	102	yes
TCGA-G9-6367-01A-11D-1785-01	34	yes
TCGA-J4-8198-01A-11D-2259-01	85	yes
TCGA-J4-A67S-01A-11D-A30D-01	86	yes
TCGA-TP-A8TT-01A-12D-A41J-01	212	yes
TCGA-XK-AAJR-01A-11D-A41J-01	128	yes
TCGA-YL-A9WX-01A-21D-A41J-01	79	yes
TCGA-V1-A9OA-01A-11D-A41J-01	108	yes
TCGA-Y6-A8TL-01A-21D-A376-01	280	yes
TCGA-KC-A4BV-01A-31D-A26L-01	290	yes
TCGA-CH-5745-01A-11D-1574-01	65	yes
TCGA-EJ-5532-01A-01D-1574-01	52	yes
TCGA-YL-A9WK-01A-11D-A376-01	176	yes
TCGA-G9-6363-01A-21D-1785-01	147	yes
TCGA-HC-A8CY-01A-11D-A363-01	142	yes
TCGA-EJ-AB27-01A-11D-A41J-01	115	yes
TCGA-G9-6498-01A-12D-A30W-01	57	yes
TCGA-Y6-A9XI-01A-11D-A41J-01	224	yes
TCGA-HC-A9TE-01A-11D-A41J-01	333	yes
TCGA-KK-A8II-01A-11D-A363-01	195	yes
TCGA-G9-6339-01A-12D-A30W-01	94	yes
TCGA-KK-A6E0-01A-11D-A30W-01	808	yes
TCGA-G9-6496-01A-11D-1785-01	317	yes
TCGA-J4-A67M-01A-11D-A30D-01	75	yes
TCGA-KK-A7AZ-01A-12D-A32A-01	109	yes
TCGA-EJ-7317-01A-31D-2112-01	99	yes
TCGA-V1-A9ZK-01A-11D-A41J-01	204	yes
TCGA-KK-A7B1-01A-11D-A32A-01	136	yes
TCGA-FC-A8O0-01A-41D-A376-01	39	yes
TCGA-EJ-7321-01A-31D-2259-01	96	yes
TCGA-VP-A879-01A-11D-A34T-01	52	yes
TCGA-G9-6378-01A-11D-1785-01	78	yes
TCGA-M7-A71Y-01A-22D-A32A-01	79	yes
TCGA-CH-5748-01A-11D-1574-01	161	yes
TCGA-EJ-7123-01A-11D-1959-01	201	yes
TCGA-CH-5764-01A-21D-1574-01	170	yes
TCGA-J4-A6G3-01A-11D-A30W-01	75	yes
TCGA-J4-A83N-01A-11D-A34T-01	81	yes
TCGA-G9-6499-01A-12D-1959-01	273	yes
TCGA-YL-A8SB-01A-31D-A376-01	63	yes
TCGA-HC-A632-01A-11D-A323-01	166	yes
TCGA-XK-AAIR-01A-11D-A41J-01	239	yes
TCGA-HC-A6AS-01A-11D-A30D-01	94	yes
TCGA-EJ-A7NH-01A-12D-A33S-01	92	yes
TCGA-G9-6342-01A-11D-1959-01	78	yes
TCGA-HC-A6AP-01A-11D-A30D-01	92	yes
TCGA-ZG-A9NI-01A-11D-A41J-01	117	yes
TCGA-ZG-A9LN-01A-11D-A41J-01	644	yes
TCGA-G9-A9S0-01A-11D-A41J-01	85	yes
TCGA-EJ-7782-01A-11D-2112-01	673	yes
TCGA-EJ-A8FO-01A-21D-A363-01	63	yes
TCGA-J4-A67Q-01A-21D-A30D-01	59	yes
TCGA-VP-A87B-01A-11D-A34T-01	615	yes
TCGA-XK-AAIW-01A-11D-A41J-01	140	yes
TCGA-G9-6494-01A-11D-1785-01	106	yes
TCGA-EJ-8468-01A-21D-2391-01	166	yes
TCGA-ZG-A9L1-01A-11D-A41J-01	148	yes
TCGA-EJ-A8FP-01A-21D-A363-01	99	yes
TCGA-EJ-A46F-01A-31D-A256-01	129	yes
TCGA-V1-A9OX-01A-11D-A41J-01	319	yes
TCGA-KK-A6E5-01A-11D-A30W-01	293	yes
TCGA-HC-A76X-01A-11D-A33S-01	72	yes
TCGA-EJ-7783-01A-11D-2112-01	80	yes
TCGA-G9-6356-01A-11D-1785-01	93	yes
TCGA-HC-8260-01A-11D-2259-01	69	yes
TCGA-V1-A9Z9-01A-21D-A41J-01	224	yes
TCGA-XK-AAIV-01A-11D-A41J-01	278	yes
TCGA-V1-A9OQ-01A-11D-A41J-01	252	yes
TCGA-KK-A8I7-01A-21D-A363-01	134	yes
TCGA-YL-A9WJ-01A-11D-A376-01	86	yes
TCGA-HI-7169-01A-11D-2112-01	54	yes
TCGA-EJ-5509-01A-01D-1574-01	474	yes
TCGA-2A-A8VV-01A-11D-A376-01	108	yes
TCGA-CH-5739-01A-11D-1574-01	100	yes
TCGA-HC-7737-01A-11D-2112-01	154	yes
TCGA-EJ-AB20-01A-12D-A41J-01	55	yes
TCGA-CH-5792-01A-11D-1574-01	178	yes
TCGA-HC-A6HY-01A-11D-A31K-01	68	yes
TCGA-YL-A8HK-01A-11D-A363-01	110	yes
TCGA-V1-A9ZI-01A-11D-A41J-01	157	yes
TCGA-M7-A720-01A-12D-A32A-01	54	yes
TCGA-XQ-A8TB-01A-11D-A363-01	191	yes
TCGA-4L-AA1F-01A-11D-A41J-01	186	yes
TCGA-VP-A87J-01A-11D-A34T-01	111	yes
TCGA-ZG-A9LU-01A-11D-A41J-01	215	yes
TCGA-G9-6354-01A-11D-A30W-01	104	yes
TCGA-EJ-5496-01A-01D-1574-01	86	yes
TCGA-M7-A722-01A-12D-A363-01	378	yes
TCGA-HC-A6AQ-01A-11D-A30D-01	88	yes
TCGA-HC-A6AN-01A-11D-A30D-01	109	yes
TCGA-J4-A67O-01A-11D-A30D-01	49	yes
TCGA-EJ-A6RA-01A-11D-A33S-01	99	yes
TCGA-HC-A9TH-01A-11D-A41J-01	200	yes
TCGA-CH-5771-01A-21D-1574-01	116	yes
TCGA-EJ-7328-01A-31D-2112-01	91	yes
TCGA-EJ-7784-01A-11D-2112-01	122	yes
TCGA-X4-A8KS-01A-12D-A363-01	107	yes
TCGA-V1-A8MF-01A-11D-A363-01	165	yes
TCGA-J4-A83I-01A-11D-A363-01	125	yes
TCGA-HC-7075-01A-11D-1959-01	81	yes
TCGA-CH-5746-01A-11D-1574-01	63	yes
TCGA-XJ-A83H-01A-11D-A34T-01	127	yes
TCGA-KK-A8I6-01A-11D-A363-01	173	yes
TCGA-KK-A8IC-01A-11D-A363-01	154	yes
TCGA-CH-5765-01A-11D-1574-01	162	yes
TCGA-J4-A83L-01A-11D-A34T-01	39	yes
TCGA-HC-7819-01A-11D-2112-01	143	yes
TCGA-G9-6371-01A-11D-1785-01	57	yes
TCGA-ZG-A8QZ-01A-11D-A376-01	132	yes
TCGA-V1-A9ZG-01A-11D-A41J-01	157	yes
TCGA-G9-6369-01A-21D-1959-01	516	yes
TCGA-G9-6366-01A-11D-2112-01	240	yes
TCGA-M7-A723-01A-12D-A32A-01	75	yes
TCGA-HC-A6AL-01A-11D-A30D-01	86	yes
TCGA-HC-7233-01A-11D-2112-01	80	yes
TCGA-VN-A88O-01A-11D-A34T-01	57	yes
TCGA-ZG-A9L5-01A-12D-A41J-01	137	yes
TCGA-J9-A8CK-01A-11D-A34T-01	133	yes
TCGA-YL-A8HM-01A-11D-A363-01	903	yes
TCGA-ZG-A8QW-01A-11D-A376-01	134	yes
TCGA-EJ-A8FN-01A-11D-A34T-01	119	yes
TCGA-J4-AAU2-01A-11D-A41J-01	52	yes
TCGA-G9-6362-01A-11D-1785-01	138	yes
TCGA-V1-A9O9-01A-11D-A41J-01	198	yes
TCGA-KK-A7AP-01A-12D-A33S-01	155	yes
TCGA-CH-5768-01A-11D-1574-01	157	yes
TCGA-V1-A8WL-01A-11D-A376-01	72	yes
TCGA-G9-6351-01A-21D-1959-01	88	yes
TCGA-J4-A6G1-01A-11D-A30W-01	90	yes
TCGA-EJ-5499-01A-01D-1574-01	103	yes
TCGA-YL-A8SF-01A-11D-A376-01	159	yes
TCGA-YL-A8HL-01A-11D-A363-01	272	yes
